Date,PnL,Win Trades,Loss Trades,Win Loss Percent,# of Trades,Running PnL
3/27/24,-800.00,0.00,4.00,0.00%,4,-800.00
3/28/24,470.00,1.00,1.00,100.00%,2,-330.00
3/29/24,,,,#DIV/0!,0,-330.00
3/30/24,,,,#DIV/0!,0,-330.00
3/31/24,,,,#DIV/0!,0,-330.00
4/1/24,273.00,2.00,5.00,40.00%,7,-57.00
4/2/24,207.00,1,4.00,25.00%,5,150.00
4/3/24,152.00,2.00,3.00,66.67%,5,302.00
4/4/24,-637.00,0.00,4.00,0.00%,4,-335.00
4/5/24,,,,#DIV/0!,0,-335.00
4/6/24,,,,#DIV/0!,0,-335.00
4/7/24,,,,#DIV/0!,0,-335.00
4/8/24,129.00,3.00,4.00,75.00%,7,-206.00
4/9/24,204.00,1.00,2.00,50.00%,3,-2.00
4/10/24,290.00,3.00,4.00,75.00%,7,288.00
4/11/24,12.00,3.50,8.00,43.75%,12,300.00
4/12/24,216.00,2.50,3.00,83.33%,6,516.00
4/13/24,,,,#DIV/0!,0,516.00
4/14/24,,,,#DIV/0!,0,516.00
4/15/24,125.00,3.00,7.00,42.86%,10,641.00
4/16/24,-276.00,1.00,6.00,16.67%,7,365.00
4/17/24,-118.00,4.00,11.00,36.36%,15,247.00
4/18/24,118.00,1.00,5.00,20.00%,6,365.00
4/19/24,-211.00,0.00,6.00,0.00%,6,154.00
4/22/24,-100.00,3.00,7.00,42.86%,10,54.00
4/23/24,-130.00,0.00,2.00,0.00%,2,-76.00
4/24/24,-20.00,1.00,5.00,20.00%,6,-96.00
4/25/24,0.00,0.00,0.00,#DIV/0!,0,-96.00
4/26/24,-173.00,0.00,3.00,0.00%,3,-269.00
5/20/24,147.00,1.00,2.00,50.00%,3,-122.00
5/23/24,-100.00,0.00,1.00,0.00%,1,-222.00
5/24/24,366.00,1.00,1.00,100.00%,2,144.00
6/3/24,-100.00,0.00,1.00,0.00%,1,44.00
6/4/24,-100.00,1.00,3.00,33.33%,4,-56.00
6/6/24,-100.00,1.00,3.00,33.33%,4,-156.00
6/10/24,172.00,1.00,1.00,100.00%,2,16.00
6/11/24,-563.00,0.00,3.00,0.00%,3,-547.00
6/17/24,375.00,1.00,2.00,50.00%,3,-172.00
6/18/24,-240.00,1.00,2.00,50.00%,3,-412.00
6/20/24,200.00,1.00,1.00,100.00%,2,-212.00
6/25/24,240.00,1.00,0.00,#DIV/0!,1,28.00
6/27/24,20.00,1.00,2.00,50.00%,3,48.00
6/28/24,174.00,1.00,0.00,#DIV/0!,1,222.00
7/1/24,146.00,1.00,1.00,100.00%,2,368.00
7/2/24,92.00,1.00,0.00,#DIV/0!,1,460.00
