Date,Trade Tags,Outcome,Outcome tags,pts win/loss,Outlined in plan?,According or against plan?,Larger SL = win?,TypeOfDay
3/27/24,knife,loss,fomo,-7.5,N/A,N/A,,LargeGapUp
3/27/24,knife,loss,fomo,-7.5,N/A,N/A,,LargeGapUp
3/27/24,knife,loss,fomo,-7.5,N/A,N/A,,LargeGapUp
3/27/24,knife,loss,fomo,-7.5,N/A,N/A,,LargeGapUp
3/28/24,"ONLF,absorption,vpzone",win,patient,23.5,Y,According,,Range
4/1/24,"openrungap,openingdrive",loss,,-7.5,Y,According,,"Volatile,Trend"
4/1/24,"absorption,vpzone",loss,"fomo,hopium",-7.5,Y,According,,"Volatile,Trend"
4/1/24,"absorption,vpzone,aggression",win,patient,5,Y,According,,"Volatile,Trend"
4/1/24,"absorption,vpzone,aggression",loss,"patient,unluckySL",-7.5,Y,According,Y (10),"Volatile,Trend"
4/1/24,"absorption,vpzone,aggression,exhaustion",win,patient,25,Y,According,,"Volatile,Trend"
4/2/24,"absorption,vpzone,breakout",loss,fomo,-7.5,Y,According,,LargeGapDown
4/2/24,"vpzone,breakout",loss,fomo,-3.5,N,N/A,,LargeGapDown
4/2/24,"absorption,vpzone,breakout",loss,"fomo,unluckySL",-7.5,Y,According,Y (10),LargeGapDown
4/2/24,"absorption,vpzone,breakout",loss,patient,30,Y,According,,LargeGapDown
4/3/24,"stoprunreversal,vpzone",win,"patient,scaredexit",2.5,Y,According,,LargeGapDown
4/3/24,breakout,loss,"fomo,missedtrade",3.5,N,N/A,,LargeGapDown
4/3/24,"rebid,vpzone,tapeweakness",win,patient,10,N,N/A,Y (10),LargeGapDown
4/4/24,"openinventorycorrect,vpzone,openingdrive",loss,tapereadmistake,-7.5,Y,N/A,,"LargeGapUp,Volatile,Range"
4/4/24,vpzone,loss,"tapereadmistake,fomo",-7.5,Y,According,,"LargeGapUp,Volatile,Range"
4/4/24,vpzone,loss,"tapereadmistake,fomo",-7.5,N,N/A,,"LargeGapUp,Volatile,Range"
4/4/24,vpzone,loss,"tapereadmistake,fomo",-7.5,N,N/A,,"LargeGapUp,Volatile,Range"
4/8/24,reoffer,loss,,-2,N,N/A,,ChoppyTightRange
4/8/24,reoffer,loss,,-2,N,N/A,,ChoppyTightRange
4/8/24,"breakout,exhaustion",win,patient,35,N,N/A,,ChoppyTightRange
4/8/24,"vpzone,absorption,stoprunreversal",win,"patient,scaredexit",10,Y,According,,ChoppyTightRange
4/9/24,"vpzone,ONHF",loss,,-10,Y,According,,Trend
4/9/24,"vpzone,absorption,ONHF",win,patient,30,Y,According,,Trend
4/10/24,"rebid,unfinishedauction",win,"patient,scaredexit,cutrunners",20,N,N/A,,"Volatile,ChoppyTightRange,LargeGapDown"
4/10/24,"rebid,exhaustion,tapeweakness",win,"patient,scaredexit,norunners",5,N,N/A,,"Volatile,ChoppyTightRange,LargeGapDown"
4/10/24,"reoffer,vpzone",loss,"patient,stoplossrun",-10,Y,According,,"Volatile,ChoppyTightRange,LargeGapDown"
4/10/24,"rebid,vpzone",win,"patient,scaredexit,norunners",20,Y,According,,"Volatile,ChoppyTightRange,LargeGapDown"
4/11/24,"rebid,vpzone",win,patient,5,Y,According,,ChoppyTightRange
4/11/24,rebid,loss,unluckySL,-10,Y,According,,ChoppyTightRange
4/11/24,"reoffer,vpzone",loss,fomo,-10,N,N/A,,ChoppyTightRange
4/11/24,rebid,win,"patient,scaredexit,norunners",10,Y,According,,ChoppyTightRange
4/11/24,rebid,win,"patient,scaredexit,norunners",5,Y,According,,ChoppyTightRange
4/11/24,rebid,win,"patient,scaredexit,norunners",2,Y,According,,ChoppyTightRange
4/11/24,"rebid,vpzone",win,patient,15,Y,According,,ChoppyTightRange
4/11/24,"rebid,vpzone",loss,fomo,-1,N,N/A,,ChoppyTightRange
4/12/24,openingdrive,win,patient,10,Y,According,,"Grind,Volatile"
4/12/24,"reoffer,absorption,vpzone",win,"patient,goodexit",10,Y,According,,"Grind,Volatile"
4/12/24,"reoffer,absorption,vpzone",win,"patient,goodexit",10,Y,According,,"Grind,Volatile"
