,Date,Open,Max,Min,Close,Playbook,EOD,UP,DOWN,RANGE,5 Min Opening Delta,Open from Prev Close,Close from Prev Close,MHP,HP,Open From HP,Close From HP,Open from MHP,Close From MHP,open above,close above,,,
1,1/3/2023,3881,3901.5,3814.5,3839.25,BRLU,-41.75,20.5,-66.5,87,-1066,,,3811,3867,14,-27.75,70,28.25,1,0,0,,0
2,1/4/2023,3869,3896.25,3836.5,3874,BLU,5,27.25,-32.5,59.75,-1912,29.75,34.75,3786,3862,7,12,83,88,1,1,1,,0
3,1/5/2023,3852.75,3853.5,3822.5,3831,BRLU,-21.75,0.75,-30.25,31,-2443,-21.25,-43,3784,3840,12.75,-9,68.75,47,1,0,0,,0
4,1/6/2023,3861.25,3928.75,3829,3911.25,BSU,50,67.5,-32.25,99.75,1033,30.25,80.25,3784,3860,1.25,51.25,77.25,127.25,1,1,1,,0
5,1/9/2023,3939.5,3973.25,3909.75,3911.5,BLU,-28,33.75,-29.75,63.5,1277,28.25,0.25,3834,3905,34.5,6.5,105.5,77.5,1,1,1,,0
6,1/10/2023,3907.5,3943.75,3897.25,3939.5,BRSU,32,36.25,-10.25,46.5,853,-4,28,3859,3920,-12.5,19.5,48.5,80.5,0,1,0,,0
7,1/11/2023,3957.5,3990.75,3948.75,3989.5,BLU,32,33.25,-8.75,42,-2470,18,50,3884,3944,13.5,45.5,73.5,105.5,1,1,1,,0
8,1/12/2023,3999.75,4018.5,3957.25,4001.75,BLU,2,18.75,-42.5,61.25,-4461,10.25,12.25,3882,3992,7.75,9.75,117.75,119.75,1,1,1,,0
9,1/13/2023,3968.25,4024.25,3965.75,4015.25,BRLU,47,56,-2.5,58.5,-1805,-33.5,13.5,3856,3972,-3.75,43.25,112.25,159.25,0,1,0,,0
10,1/16/2023,4014.75,4020.5,4008.25,4009.75,NA,-5,5.75,-6.5,12.25,236,-0.5,-5.5,3856,3972,42.75,37.75,158.75,153.75,1,1,1,,0
11,1/17/2023,4018.25,4035.25,4002.75,4011.25,BLU,-7,17,-15.5,32.5,-1597,8.5,1.5,3983,4013,5.25,-1.75,35.25,28.25,1,0,0,,0
12,1/18/2023,4022,4033.5,3943.75,3945.25,BLU,-76.75,11.5,-78.25,89.75,-282,10.75,-66,3981,4011,11,-65.75,41,-35.75,1,0,0,,1
13,1/19/2023,3923,3940.25,3901.75,3922.75,BRSU,-0.25,17.25,-21.25,38.5,-5738,-22.25,-22.5,3919,3954,-31,-31.25,4,3.75,0,0,0,,1
14,1/20/2023,3929.75,3990.5,3912.25,3986.5,BRSU,56.75,60.75,-17.5,78.25,-862,7,63.75,3928,3944,-14.25,42.5,1.75,58.5,0,1,0,,1
15,1/23/2023,3996.5,4056.75,3986.25,4032,BLU,35.5,60.25,-10.25,70.5,-1392,10,45.5,3787,3979,17.5,53,209.5,245,1,1,1,,0
16,1/24/2023,4018,4047.5,4005.25,4043.75,BRLU,25.75,29.5,-12.75,42.25,-1527,-14,11.75,3802,4014,4,29.75,216,241.75,1,1,1,,0
17,1/25/2023,3987.5,4035.75,3963.25,4033.25,BRLU,45.75,48.25,-24.25,72.5,-1301,-56.25,-10.5,3786,3977,10.5,56.25,201.5,247.25,1,1,1,,0
18,1/26/2023,4059,4077,4027.25,4071.5,BLU,12.5,18,-31.75,49.75,2380,25.75,38.25,3876,4042,17,29.5,183,195.5,1,1,1,,0
19,1/27/2023,4063.75,4109.25,4061.75,4082,BLU,18.25,45.5,-2,47.5,-405,-7.75,10.5,3850,4047,16.75,35,213.75,232,1,1,1,,0
20,1/30/2023,4054.5,4078,4029.5,4037.75,MRSU,-16.75,23.5,-25,48.5,1382,-27.5,-44.25,3925,4066,-11.5,-28.25,129.5,112.75,0,0,0,,0
21,1/31/2023,4036.75,4091.25,4033.25,4086.75,MRSU,50,54.5,-3.5,58,-302,-1,49,3899,4045,-8.25,41.75,137.75,187.75,0,1,0,,0
22,2/1/2023,4077.75,4163.25,4048.5,4130.75,BLU,53,85.5,-29.25,114.75,-172,-9,44,3924,4050,27.75,80.75,153.75,206.75,1,1,1,,0
23,2/2/2023,4173.75,4208.5,4153.25,4188.25,BLU,14.5,34.75,-20.5,55.25,2518,43,57.5,3948,4145,28.75,43.25,225.75,240.25,1,1,1,,0
24,2/3/2023,4140.5,4194,4135,4146.75,BSU,6.25,53.5,-5.5,59,-2565,-47.75,-41.5,3963,4149,-8.5,-2.25,177.5,183.75,0,0,0,,0
25,2/6/2023,4121.25,4136.5,4104,4123,BRSU,1.75,15.25,-17.25,32.5,1818,-25.5,-23.75,3962,4138,-16.75,-15,159.25,161,0,0,0,,0
26,2/7/2023,4111,4188.25,4098.25,4168.5,BRSU,57.5,77.25,-12.75,90,-1169,-12,45.5,4097,4117,-6,51.5,14,71.5,0,1,0,,0
27,2/8/2023,4153.75,4168,4121.25,4128.5,BRSU,-25.25,14.25,-32.5,46.75,1051,-14.75,-40,4122,4152,1.75,-23.5,31.75,6.5,1,0,0,,1
28,2/9/2023,4165.5,4166.75,4078.25,4096.75,BLU,-68.75,1.25,-87.25,88.5,1920,37,-31.75,4146,4156,9.5,-59.25,19.5,-49.25,1,0,0,,1
29,2/10/2023,4078.5,4104.25,4069.75,4099.25,BRSU,20.75,25.75,-8.75,34.5,219,-18.25,2.5,4069,4099,-20.5,0.25,9.5,30.25,0,1,0,,0
30,2/13/2023,4107,4150.25,4101.5,4148.25,MRLU,41.25,43.25,-5.5,48.75,174,7.75,49,4099,4114,-7,34.25,8,49.25,0,1,0,,0
31,2/14/2023,4131.5,4170,4103.75,4140.5,BSD,9,38.5,-27.75,66.25,-1262,-16.75,-7.75,4119,4119,12.5,21.5,12.5,21.5,1,1,1,,1
32,2/15/2023,4122,4160,4113,4158.5,BRSU,36.5,38,-9,47,971,-18.5,18,4123,4133,-11,25.5,-1,35.5,0,1,0,,1
33,2/16/2023,4103.75,4145.5,4095.75,4098.5,BRSU,-5.25,41.75,-8,49.75,-1526,-54.75,-60,4120,4130,-26.25,-31.5,-16.25,-21.5,0,0,0,,1
34,2/17/2023,4076.25,4090.5,4055.75,4088.25,BRSU,12,14.25,-20.5,34.75,3860,-22.25,-10.25,4065,4095,-18.75,-6.75,11.25,23.25,0,0,0,,1
35,2/20/2023,4081.25,4081.75,4073.25,4075.75,NA,-5.5,0.5,-8,8.5,-9,-7,-12.5,4065,4095,-13.75,-19.25,16.25,10.75,0,0,0,,0
36,2/21/2023,4045.25,4056.25,4002,4009.5,NA,-35.75,11,-43.25,54.25,-20,-30.5,-66.25,4059,4079,-33.75,-69.5,-13.75,-49.5,0,0,0,,0
37,2/22/2023,4009,4025,3983.75,4000.75,BRSU,-8.25,16,-25.25,41.25,-212,-0.5,-8.75,4013,4018,-9,-17.25,-4,-12.25,0,0,0,,1
38,2/23/2023,4028.5,4034.25,3974.25,4016.25,BLD,-12.25,5.75,-54.25,60,-1501,27.75,15.5,4033,4028,0.5,-11.75,-4.5,-16.75,1,0,0,,1
39,2/24/2023,3965.25,3984,3947.5,3973.5,MRSU,8.25,18.75,-17.75,36.5,-1864,-51,-42.75,3986,3991,-25.75,-17.5,-20.75,-12.5,0,0,0,,0
40,2/27/2023,4010.25,4024.75,3978.5,3988.25,BLU,-22,14.5,-31.75,46.25,-929,36.75,14.75,4006,4006,4.25,-17.75,4.25,-17.75,1,0,0,,1
41,2/28/2023,3982.75,4003.5,3965,3969.25,BRSU,-13.5,20.75,-17.75,38.5,-3827,-5.5,-19,3985,3990,-7.25,-20.75,-2.25,-15.75,0,0,0,,1
42,3/1/2023,3963.75,3976.5,3943,3954.75,BRSD,-9,12.75,-20.75,33.5,2593,-5.5,-14.5,3984,3984,-20.25,-29.25,-20.25,-29.25,0,0,0,,0
43,3/2/2023,3935,3995.25,3931,3986.25,BRSD,51.25,60.25,-4,64.25,1451,-19.75,31.5,3958,3943,-8,43.25,-23,28.25,0,1,0,,1
44,3/3/2023,4005,4053,3998,4050,BLD,45,48,-7,55,-1352,18.75,63.75,4003,3988,17,62,2,47,1,1,1,,1
