DateTime,Open,High,Low,Close,Ticks(from bar),Volume(from bar),Goose Zones_MA Line,Goose Zones_Upper Keltner,Goose Zones_Lower Keltner,Goose Zones_Short Trigger,Goose Zones_Top of Range,Goose Zones_Long Trigger,Goose Zones_Bottom of Range,Goose Zones_Arrow Marker,
1/25/2024 11:00:00 PM -06:00,38073,38105,38073,38095,690,750,,,,,,,,,
1/26/2024 12:00:00 AM -06:00,38096,38096,38050,38069,1078,1153,,,,,,,,,
1/26/2024 1:00:00 AM -06:00,38070,38092,38056,38063,1398,1541,,,,,,,,,
1/26/2024 2:00:00 AM -06:00,38063,38104,38060,38096,1985,2082,,,,,,,,,
1/26/2024 3:00:00 AM -06:00,38097,38141,38078,38133,2214,2554,,,,,,,,,
1/26/2024 4:00:00 AM -06:00,38135,38151,38130,38142,1381,1506,,,,,,,,,
1/26/2024 5:00:00 AM -06:00,38141,38166,38131,38143,1576,1812,,,,,,,,,
1/26/2024 6:00:00 AM -06:00,38143,38212,38143,38184,3486,3991,,,,,,,,,
1/26/2024 7:00:00 AM -06:00,38185,38225,38102,38210,7467,8254,,,,,,,,,
1/26/2024 8:00:00 AM -06:00,38211,38281,38126,38238,22594,24942,,,,,,,,,
1/26/2024 9:00:00 AM -06:00,38237,38374,38203,38356,19397,21037,,,,,,,,,
1/26/2024 10:00:00 AM -06:00,38356,38361,38290,38333,9930,10951,,,,,,,,,
1/26/2024 11:00:00 AM -06:00,38332,38341,38185,38218,11597,13038,,,,,,,,,
1/26/2024 12:00:00 PM -06:00,38218,38260,38175,38209,8489,9444,,,,,,,,,
1/26/2024 1:00:00 PM -06:00,38211,38288,38205,38277,7091,7913,,,,,,,,,
1/26/2024 2:00:00 PM -06:00,38276,38283,38222,38261,10605,11686,,,,,,,,,
1/26/2024 3:00:00 PM -06:00,38262,38263,38241,38245,2471,2748,,,,,,,,,
1/28/2024 5:00:00 PM -06:00,38209,38221,38157,38171,1946,2093,,,,,,,,,
1/28/2024 6:00:00 PM -06:00,38172,38175,38164,38173,779,866,,,,,,,,,
1/28/2024 7:00:00 PM -06:00,38172,38201,38169,38196,901,1002,,,,,,,,,
1/28/2024 8:00:00 PM -06:00,38196,38197,38181,38187,403,423,,,,,,,,,
1/28/2024 9:00:00 PM -06:00,38189,38196,38182,38194,431,462,,,,,,,,,
1/28/2024 10:00:00 PM -06:00,38193,38198,38190,38194,243,261,,,,,,,,,
1/28/2024 11:00:00 PM -06:00,38195,38207,38191,38207,362,374,,,,,,,,,
1/29/2024 12:00:00 AM -06:00,38208,38220,38206,38212,630,659,,,,,,,,,
1/29/2024 1:00:00 AM -06:00,38212,38252,38212,38251,1144,1235,,,,,,,,,
1/29/2024 2:00:00 AM -06:00,38252,38256,38226,38240,1538,1687,,,,,,,,,
1/29/2024 3:00:00 AM -06:00,38239,38244,38196,38198,1657,1799,,,,,,,,,
1/29/2024 4:00:00 AM -06:00,38197,38235,38187,38233,1061,1158,,,,,,,,,
1/29/2024 5:00:00 AM -06:00,38233,38251,38228,38242,794,842,,,,,,,,,
1/29/2024 6:00:00 AM -06:00,38243,38260,38227,38235,1550,1649,,,,,,,,,
1/29/2024 7:00:00 AM -06:00,38235,38252,38226,38241,2084,2215,,,,,,,,,
1/29/2024 8:00:00 AM -06:00,38241,38307,38215,38295,12949,14243,,,,,,,,,
1/29/2024 9:00:00 AM -06:00,38295,38321,38213,38231,14096,15429,,,,,,,,,
1/29/2024 10:00:00 AM -06:00,38230,38273,38221,38262,5466,5918,,,,,,,,,
1/29/2024 11:00:00 AM -06:00,38262,38278,38211,38232,5803,6362,,,,,,,,,
1/29/2024 12:00:00 PM -06:00,38232,38270,38204,38252,3543,3818,,,,,,,,,
1/29/2024 1:00:00 PM -06:00,38251,38320,38241,38303,5308,5783,,,,,,,,,
1/29/2024 2:00:00 PM -06:00,38304,38498,38304,38486,18998,21197,,,,,,,,,
1/29/2024 3:00:00 PM -06:00,38485,38487,38435,38435,3421,3720,,,,,,,,,
1/29/2024 5:00:00 PM -06:00,38432,38448,38420,38440,1404,1464,,,,,,,,,
1/29/2024 6:00:00 PM -06:00,38441,38460,38428,38447,481,529,,,,,,,,,
1/29/2024 7:00:00 PM -06:00,38446,38466,38445,38452,653,676,,,,,,,,,
1/29/2024 8:00:00 PM -06:00,38450,38454,38442,38451,260,282,,,,,,,,,
1/29/2024 9:00:00 PM -06:00,38452,38458,38437,38437,313,321,,,,,,,,,
1/29/2024 10:00:00 PM -06:00,38437,38447,38431,38433,414,441,,,,,,,,,
1/29/2024 11:00:00 PM -06:00,38432,38451,38428,38439,602,668,,,,,,,,,
1/30/2024 12:00:00 AM -06:00,38440,38447,38427,38428,616,669,,,,,,,,,
